,id,match_id,start_distance_to_goal,end_distance_to_goal,pass_length,pass_angle,start_angle_to_goal,end_angle_to_goal,start_distance_to_sideline,end_distance_to_sideline,teammates_behind,teammates_beyond,opponents_beyond,opponents_behind,opponents_between,packing,pressure_on_passer,average_speed_of_teammates,average_speed_of_opponents,opponents_nearby,teammates_nearby,xT_predicted
count,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0
mean,1442322792.9044943,5321623.0,0.016345003806296377,0.018534981624819345,-0.0013320412545980303,-0.0005526826175497428,-0.0010100878400906646,0.002945354396401802,0.006309237298958099,0.0030777910829971693,-0.0022393385402327197,-0.0015645814531937627,-0.011354600171926608,-0.0014434853553005297,-0.0002862761927426209,-0.000999208565382728,0.0007254556314818621,-0.002175157648384351,-0.004703328438160669,0.0011358288324796436,0.0018548018316341967,0.10810905694961548
std,680.8707177797928,0.0,0.12925622378206658,0.2861939904158894,0.0437777797795489,0.032810378032628484,0.03466763427617243,0.05647892901320974,0.11325622074467824,0.07435840742575671,0.028154468350043774,0.018297606439543528,0.08342843846135219,0.055164851700933076,0.007567294229948233,0.017547363239418537,0.026075358816650636,0.0651524959589523,0.05878068292218779,0.02137287135621643,0.01836464787008604,0.08319224417209625
min,1442321577.0,5321623.0,-0.1336233628061018,-0.30614190229738597,-0.28020100535824893,-0.15831279697216816,-0.11072588111215736,-0.1887275457035139,-0.2774322063414729,-0.12110413430447807,-0.11742198678082787,-0.10904321491107112,-0.2790278242150089,-0.3112902537552873,-0.052963157002814114,-0.0496758114307886,-0.10508274291438284,-0.11992608745582402,-0.22067310807469767,-0.11202123321243562,-0.12280020117759705,0.04204103723168373
25%,1442322263.75,5321623.0,-0.053569934609040505,-0.15241082630913297,-0.008857729655246659,-0.013430774575572287,-0.019262086207963873,-0.022643760291557555,-0.10342051208317571,-0.015950483420383535,-0.004519354602525709,-0.004565756462179707,-0.047012124847242376,-0.02757710786048847,-0.0006373802632515435,-0.013905351194407558,-0.005110004568268778,-0.023421059356769545,-0.011395506847111393,0.0025501161109423263,0.00016042911855038256,0.07080016657710075
50%,1442322900.0,5321623.0,-0.028689049127242468,-0.10816446806071325,0.008497227960906458,-0.0020420156468753704,-0.006629295760503737,-0.013280102408461971,0.04049512620214955,-0.004345790816223598,0.005453285043477081,0.0039535190165042875,0.011461337080982048,-0.019448807042499537,0.0011453560678637586,0.0009974326984956861,0.005309694730385672,-0.011538776695815614,-0.0002986393270839471,0.006931617875816301,0.006433678212342784,0.08541234955191612
75%,1442323405.25,5321623.0,0.031018898414422437,0.06934094057280163,0.019849142944767664,0.01681303335724806,0.01683138061678619,0.035019414135731494,0.10780911058216588,0.002450720412689407,0.011666921210562578,0.008074054810713278,0.0390728990687785,0.015604375101465846,0.0029046294464205855,0.011316336284562566,0.014375513084924022,-0.003358122084136994,0.006265665650353185,0.01119703982345527,0.00983991409491864,0.10402168147265911
max,1442323882.0,5321623.0,0.6616075927615748,1.2594121778340195,0.08635867176984903,0.0925493102191831,0.2210040486996877,0.18157185551477595,0.216766264680773,0.4694483178012888,0.12946268844301811,0.029401323165511712,0.19906505881255726,0.14493194160051645,0.0339109725819435,0.07852010923350462,0.074256856769789,0.3709907166555058,0.3088111286662752,0.01831209836178459,0.03396481254138053,0.6580137610435486
