,id,match_id,start_distance_to_goal_contribution,packing_contribution,pass_angle_contribution,pass_length_contribution,end_distance_to_goal_contribution,start_angle_to_goal_contribution,start_distance_to_sideline_contribution,end_distance_to_sideline_contribution,teammates_beyond_contribution,opponents_beyond_contribution,teammates_nearby_contribution,opponents_between_contribution,opponents_nearby_contribution,pressure_on_passer_contribution,end_angle_to_goal_contribution,speed_difference_contribution,xT
count,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0
mean,1442322792.9044943,5321623.0,-8.856835364987203e-17,9.355812005268173e-19,-2.1206507211941192e-17,-1.247441600702423e-18,3.430464401931663e-17,3.726731782098489e-17,-1.7464182409833923e-17,6.237208003512115e-18,-3.087417961738497e-17,4.1165572823179964e-17,1.247441600702423e-18,-3.820289902151171e-18,8.10837040456575e-18,-1.949127501097536e-20,3.4678876499527362e-16,-8.576161004829158e-19,0.10518644802464859
std,680.8707177797919,0.0,0.2123953132415186,0.010024824076137633,0.09361790629842456,0.05878343798298382,0.0578147387229679,0.05585047038707313,0.1555003974883123,0.3527909335708148,0.1204703730913486,0.182917487996389,0.055003444818823855,0.018551694258725385,0.08114483859021204,0.005921726066097668,0.39358519150632804,0.02456749571145555,0.06724229500716158
min,1442321577.0,5321623.0,-0.6794356990359683,-0.014297840710799672,-0.1326114462693721,-0.19594253228825942,-0.16728057563340862,-0.07472647410149769,-0.2443057773906479,-0.46512849615907437,-0.2562244099365722,-0.23799739053643787,-0.19532311099066257,-0.03642127649346597,-0.28756493831815244,-0.007009134982292306,-0.8178102741818294,-0.058758839508884,0.022458203274322575
25%,1442322263.75,5321623.0,-0.15668740136283965,-0.006114510657673171,-0.09544588973046793,-0.03189131228915733,-0.031147930712940017,-0.03881624810691468,-0.1279644591959656,-0.31298232957472794,-0.09298011351773192,-0.16900140435486466,0.02754556693458062,-0.008950991680597573,-0.05383635831527053,-0.005478574780326122,-0.34118877373689527,-0.014394154008076015,0.05882883998422051
50%,1442322900.0,5321623.0,0.03218625352039883,0.0020688193954533293,0.009029692276483231,0.009696855167308498,0.011965417390579394,-0.012144415055217711,-0.029938053346779,-0.09744192691357029,-0.00507933852297171,-0.03100943199171824,0.02754556693458062,-0.002083420477380471,0.02407316835235676,-0.00017025322706422938,-0.007847406338897356,-0.0026758692637106844,0.07987915911514765
75%,1442323405.25,5321623.0,0.14170952628506445,0.0020688193954533293,0.09621381083393493,0.043201252738955316,0.041022534792056704,0.021211403917800492,0.1355621545752449,0.3146206075857016,0.08282143647178844,0.10698254037142818,0.02754556693458062,0.011651721929053727,0.02407316835235676,0.0031773762678295103,0.32925212308683083,0.01652475150067153,0.13056316581281702
max,1442323882.0,5321623.0,0.46405298404719975,0.03480213960795933,0.11966413510166132,0.09410348642969615,0.08777897756715056,0.26937255759177003,0.3083050778338966,0.701325447654249,0.24606573289062877,0.4519624712792941,0.02754556693458062,0.03912200674192213,0.10198269501998405,0.02415352781326253,0.7665447499957505,0.0812504130643136,0.40329484480701694
