,id,match_id,xT_predicted,average_speed_of_opponents,average_speed_of_teammates,end_angle_to_goal,end_distance_to_goal,end_distance_to_sideline,opponents_behind,opponents_between,opponents_beyond,opponents_nearby,packing,pass_angle,pass_length,pressure_on_passer,start_angle_to_goal,start_distance_to_goal,start_distance_to_sideline,teammates_behind,teammates_beyond,teammates_nearby
count,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0
mean,1442322792.9044943,5321623.0,0.05925976112484932,0.0004578166174493826,0.0005615525286618594,-0.005109035883779479,5.3390958529756925e-05,0.00026540419799092775,-0.0010472418760654227,0.00015723837236587305,-0.0013531307476812278,-0.0003155230414987205,-0.0001711704281008991,4.691312318530354e-06,-1.7701787225680197e-05,-0.0003344609498212127,0.00024615039235659295,-0.0001675968958891309,7.028667321009365e-05,0.00018189645043150302,-7.021240108401341e-05,0.00013528790088241917
std,680.8707177797928,0.0,0.012612954713404179,0.02138040841957018,0.026224959851223372,0.08476879198380208,0.0008858593206976423,0.004403569237505055,0.027170399598392292,0.004079505897369863,0.03510660141045914,0.014808947827562067,0.008033815620333883,7.783794968501202e-05,0.00029370690541424626,0.015697790984558816,0.004084111343326773,0.0027807568253458543,0.0011661919227258014,0.004719252883890926,0.0018216412443156137,0.006349683548788494
min,1442321577.0,5321623.0,0.025630084797739983,-0.0719319663577596,-0.08823091181107194,-0.29976251765130396,-0.0011969614722377128,-0.005950044882379012,-0.23480160556813842,-0.003784859308486445,-0.30338480475289886,-0.03494442750368852,-0.0189572608933267,-0.00010517361467457768,-0.0010386171532958887,-0.03704181589505108,-0.005518397574054185,-0.009833414484672632,-0.0015757431999906023,-0.004378399898431783,-0.01574228922859703,-0.0199824572336406
25%,1442322263.75,5321623.0,0.05178240314126015,-0.007598237807294139,-0.009319909962708855,-0.037371938064272275,-0.0005746908693434785,-0.0028567640190577666,-0.000759790522767762,-0.0016620460597102501,-0.0009817177307848849,-0.010303135789313836,-0.005589424326862336,-5.049645911854832e-05,-0.00012948628877815902,-0.01092153703216888,-0.0026495194480130415,-0.0012259496616217615,-0.000756553364889619,-0.0019226876631074556,-5.094020602463921e-05,-0.003959098259734201
50%,1442322900.0,5321623.0,0.06115284748375416,0.008816245472761232,0.010813903973418165,0.024866772461129984,-0.0002598652363073515,-0.0012917791050601978,0.005899053358670877,-0.0008857147234235499,0.007622107809343484,0.0010332412416248502,0.0005605306820711132,-2.2833622355122566e-05,8.615839174155361e-05,0.001095257086223599,-0.001198066707141857,0.000815730006614022,-0.0003421003002375154,-0.001024612261380995,0.0003955024239396641,-0.0004430264047297392
75%,1442323405.25,5321623.0,0.06652335822582245,0.014938557268013596,0.01832346028667368,0.05499276196586432,0.00039054797044998197,0.0019413974524636409,0.011069589486897267,0.00011407892280613439,0.014302905795942233,0.009233543549391853,0.005009173322906457,3.431634410024462e-05,0.0001905389183823996,0.009787747135917658,0.0018005583493458928,0.0018039834543167475,0.0005141379425991019,0.00013196874792879102,0.0007421613618140445,0.004417711007164111
max,1442323882.0,5321623.0,0.12921768426895142,0.023471829626463672,0.028790272735170694,0.11453847770415428,0.0031326082871151557,0.015572063378449274,0.025207989011995745,0.03525434107652258,0.03257099033080595,0.04660376605633122,0.025282421686495776,0.00027525341839073573,0.00039685291072419663,0.04940095590612939,0.014442384632280938,0.0037573220779341973,0.004123930737242313,0.040782917093542655,0.0016900712963096587,0.014983242498095236
