,start_distance_to_goal,end_distance_to_goal,pass_length,pass_angle,start_angle_to_goal,end_angle_to_goal,start_distance_to_sideline,end_distance_to_sideline,teammates_behind,teammates_beyond,opponents_beyond,opponents_behind,opponents_between,packing,pressure_on_passer,average_speed_of_teammates,average_speed_of_opponents,opponents_nearby,teammates_nearby,speed_difference
count,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0,74087.0
mean,39.43965104234829,27.176987935420133,28.38738880252832,190.86416904577476,5.679031636404668,4.569278481710933,15.528257062097962,15.510369535713725,5.053315696410976,5.325657672736107,7.830145639585893,3.0798250705251933,6.0005669010757625,2.174659521913426,0.43599677703501366,2.331809225762832,2.465863587281292,1.1706642190937682,0.24124340302617192,-0.13405436151846045
std,12.85982988083704,10.129327822896022,17.151616244247045,129.34757617968592,2.0019927541815354,0.5298398279527281,9.023212506572687,9.783354164007887,2.414187147728158,2.387562418202122,2.577813530319305,2.5726228417085055,3.044775542238306,1.5678376738701347,0.4294829687629679,0.9081826256917134,0.9850303504011515,0.9680819982637808,0.5029038138725153,0.42432624011291914
min,2.7301764469404706,1.0499999999999972,0.1307466397341602,0.0,0.7207312989617515,3.620951342951205,-1.000600600600606,0.3240568113540259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1891818181818181,0.0,0.0,-2.946636363636364
25%,30.92668344228875,19.648660963994608,14.456917459901321,49.47725637851329,4.692139370656406,4.146716596474326,8.044929801443452,6.481136227080518,3.0,4.0,6.0,1.0,4.0,1.0,0.0,1.6639090909090906,1.7266181818181816,0.0,0.0,-0.4090909090909093
50%,37.768666653929145,29.13286975222317,24.36115859931905,256.2940450080452,5.268353760844164,4.5020470079432044,14.597333333333331,14.28,5.0,5.0,8.0,3.0,6.0,2.0,0.3617676262544192,2.147909090909091,2.3,1.0,0.0,-0.1219999999999998
75%,46.250594080395835,34.709999999999994,40.3004410376583,306.90525597994304,6.073706488005278,4.924911291472834,22.42703345306089,24.48,7.0,7.0,10.0,5.0,9.0,3.0,0.6900539491099027,2.8222272727272735,3.0413181818181814,2.0,0.0,0.14750000000000024
max,107.68837067307923,48.071248163533255,100.64388847728148,359.99390565477256,115.20564840350644,5.956323005836473,34.0,34.0,10.0,11.0,11.0,11.0,11.0,11.0,3.93724424823629,6.749909090909091,7.191636363636364,9.0,6.0,3.572545454545456
