model4_coeff,value_model4_coeff
start_distance_to_goal,-0.025342214692187545
end_distance_to_goal,0.008073211180342247
pass_length,-0.0026766754236628495
pass_angle,0.0007093702024347672
start_angle_to_goal,0.03722023642844524
end_angle_to_goal,-0.7725339037453269
start_distance_to_sideline,0.010628000912786281
end_distance_to_sideline,0.04013159151911317
